Base_ID,CH_stretch_2920,CH_stretch_2850,CH_total,CO_carbonyl_1720,Aromatic_1600,Aromatic_1580,CO_stretch_1100,NH_stretch,NH_bend,Amide_I,CN_stretch,Nitrate_1380,Sulfate_1100,Sulfoxide_1040,CS_stretch,PO_1250,POC_1020,OH_stretch,Water_1630,Carbonate_1420,Carbonate_875,Silicate_1080,Silicate_800,Metal_oxide_500,Total_organic_C,Total_organic_N,Total_organic_S,Total_organic_P,Total_organic_CNSP,Weighted_CNSP,Organic_index_FTIR,Mineral_index_FTIR,CH_Silicate_ratio,Aromatic_Carbonate_ratio,Aliphatic_aromatic,Weighted_organic,Organic_mineral_ratio,CNSP_mineral_ratio,Char_index_FTIR,Pyrolysis_index,Combustion_index,Normalized_organic,Normalized_CNSP,CN_ratio,n_spectra
JPL15,0.035993664134894646,0.035862995732215144,0.03605098628367369,2.0973140803667162e-4,2.9831991664000523e-4,0.038592199580027506,0.036859834311055203,0.038431721493121115,5.763378595152052e-5,-6.03335121503179e-5,0.037158645108922736,-1.0199661677082195e-4,0.037032523325511386,0.03654292545148304,0.03430495934131054,0.03754259803547309,0.03642510393491158,0.038702229226844895,0.03881716958823658,-2.697140312633503e-4,-1.06509952318104e-4,0.03670963544685107,0.03521977675457796,0.032922447014313475,0.036559037608350366,0.038651685407993776,0.10788040811830496,0.07396770197038467,0.25705883310503375,0.16646133951171943,0.9901843414637265,0.03697934947811442,0.9820578669561842,1.1060600564333414,0.036349306200313694,0.07261002389202406,0.988633876049853,6.9514157694193495,0.008274944665663822,0.014092577680926213,0.008207031930569028,0.4989722903921896,0.8750388847795368,0.9458588214833545,1
JPL18,0.022365277693156275,0.02327428493768938,0.022942886222153902,-9.827365955480949e-5,8.489227011090894e-5,0.036856237512368425,0.035596041264487246,0.023551450922123848,1.488061802041099e-4,-1.3874055674442665e-4,0.03582481764160193,-1.9751770776652022e-4,0.035781068195189746,0.03516252924289022,0.03201169499124472,0.03610909844820316,0.03509185162301247,0.023701164664493665,0.036714862499918254,-1.2439759185296773e-4,-1.962745473498423e-4,0.03541778601132906,0.033446404994243666,0.030154041551913206,0.02312605215181962,0.024036515366838904,0.10295529242932468,0.07120095007121563,0.22131881001919884,0.12987357103517277,0.6501755497901233,0.03554218360318203,0.647778667328759,0.6824269573582078,0.02302777849226481,0.04606893837397352,0.6506649228425342,6.226933395262314,0.0037001565229807937,0.00798356091261314,0.0036865158373581212,0.3950211137058087,0.8620462117246518,0.9621216635970715,1
JPL22,0.011704440739366316,0.012314800503513506,0.012211896210479047,2.9798428742931066e-4,1.97220815434343e-4,0.020349017702616178,0.019964787597749747,0.012326918368137652,-1.0320535230059699e-4,-1.8754959679567057e-4,0.02007701407585825,-4.010508502168275e-5,0.02003100465628363,0.019885119582925524,0.018290643759358387,0.020201982034800146,0.01979595236480236,0.012323587201535702,0.02016929474969705,-6.634438684540583e-5,-8.191097350348023e-5,0.01996619949260583,0.019086650306625024,0.017692537405169927,0.012707101313342701,0.012657778402255602,0.05820676799856754,0.0399979343996025,0.12356958211376834,0.07150299299577002,0.6215062125623313,0.020032543879451237,0.611628478168894,2.972682766575301,0.01240911702591339,0.024918997523821748,0.6343228992687869,6.168441854283029,0.016149892861446653,0.040551040913590256,0.015893219076143435,0.38891391441630024,0.8608974064226006,1.0038966483311407,1
JPL25,0.03544345774477528,0.03594918344770708,0.03587531742568199,4.352091883237652e-5,-3.0718034222013135e-5,0.04588744689065676,0.044998324019651786,0.037080922434406895,8.37997443252983e-5,1.4634408916418262e-4,0.04525347373315266,-8.248625145781951e-5,0.045154367706605365,0.04467550505484853,0.041755470662162855,0.04568933709882773,0.04450673180130812,0.03722686603089462,0.046072191425732205,-1.1288566372146674e-4,-8.49697916280659e-5,0.044852261789716207,0.043023849615738505,0.04022339774438968,0.03594955637873638,0.037393552519354195,0.13158534342361677,0.09019606890013585,0.2951245212218432,0.18135538391621908,0.8005401294642536,0.04496514745343767,0.7998552579996655,0.27211634506403387,0.03590603545990401,0.07182487380441838,0.799498242854933,6.563406058602402,8.562442488668567e-4,0.0020693601724411327,8.555117218751629e-4,0.4449102408041129,0.8680725742728403,0.9613838203826601,1
JPL28,0.034669958655872656,0.03519004042590818,0.03510908614127682,-9.388483774203787e-5,-4.583677010876891e-5,0.04588908057373304,0.045389744361826016,0.036612532912723476,9.559124948516767e-5,7.322215690062917e-5,0.045535133788725,2.3438311403706225e-4,0.045409146430236955,0.045136174985340664,0.04278710083319591,0.04581395056671821,0.044984136206599384,0.036772454166469945,0.045855347954091574,-5.058052709266264e-5,3.238341638039932e-7,0.0453000095887826,0.04392341657408646,0.04178043705626176,0.03524880774912763,0.037015729433146335,0.1333324222487735,0.0907980867733176,0.2963950462043651,0.179960479500622,0.7760466991179361,0.045350590115875264,0.775034850102343,0.9062137692791684,0.03515492291138559,0.07035789389040445,0.7772513578999396,6.53563813496244,0.0013055529250839666,0.003979642400504973,0.0013038506790161045,0.43760801106806335,0.8674256217034468,0.9522656527082649,1
JPL29,0.02579035886353062,0.025866612611759092,0.025836650729895785,2.534601550835819e-4,1.8693453499248752e-4,0.0353960869117425,0.0347945500238269,0.026766574995652322,-2.579336925860598e-5,-2.4314898137860197e-5,0.034996164599796396,-1.564025124978427e-4,0.03488927361156259,0.03460928194579624,0.03237068481170214,0.03522952925413847,0.03447549016429828,0.026847608810389674,0.03519601569998832,-1.259791559629908e-4,-6.857354726109988e-5,0.034694150305138186,0.03331944426255567,0.031027997378259897,0.026277045419971855,0.02697308577554663,0.10186924036906098,0.06970501941843675,0.2248243909830162,0.1356401014115327,0.7500856783062415,0.034820129461101176,0.7446976075984023,1.483852892675386,0.026023585264888273,0.05211369614986764,0.7546509971861791,6.456736217312909,0.007235246431387647,0.01704534750576186,0.007183273676156554,0.43097474319582785,0.8663134043027169,0.9741950045550296,1
JPL33,0.026957577515032985,0.027828750891550895,0.027553718232621368,3.0988182585969803e-5,1.9634568265506497e-4,0.036839980918627516,0.035862560219624466,0.02842405325462741,1.48214640155922e-4,8.527956043298535e-5,0.03605022121753011,1.3687227896991283e-4,0.035950791800305956,0.03562751270475842,0.032916585699870035,0.036406355981643386,0.035430921528201834,0.028538692598613562,0.036917872194732936,2.1390735186754828e-5,2.906790801456005e-6,0.03574700460124474,0.03415216709531489,0.03148820706141683,0.027781052097862403,0.02879441973418623,0.10449489020493441,0.07183727750984523,0.23290763954682828,0.1419892243001798,0.7762906074180591,0.035768395336431495,0.7707979602761437,9.179005814472543,0.027750063915276433,0.05533477033048377,0.7766927153583075,6.51154845936303,0.007125923296355975,0.008250569426665978,0.007075503799001216,0.4373036661493354,0.8669406787490999,0.9648068047323521,1
JPL40,0.04082404545718624,0.0405641671630644,0.04084561292368632,7.262596717247383e-5,1.9270385659876654e-4,0.04660392094116945,0.045954201297432766,0.04266458468571786,6.957159888354436e-6,-5.1371753215789795e-6,0.046155802470135995,-1.7827408210862455e-4,0.046078144173536985,0.04562116964232354,0.043155355020784415,0.04638276113053927,0.04540688229294924,0.04287040240810689,0.04666601600391524,-6.077394279981746e-5,1.2590239445368218e-4,0.04580886461413824,0.044209782122856096,0.041937973350286484,0.04111094274745756,0.04285495310303642,0.13485466883664493,0.0917896434234885,0.3106102081106274,0.19575489049340064,0.8958597233518686,0.045869638556938055,0.8916530297736285,3.1708302558797508,0.041038316780285085,0.08195655567114388,0.8962560866143839,6.771586127173565,0.0047178593441308805,0.006495919751944179,0.004695705665280648,0.4729755391246047,0.8714747101945557,0.9593043457220516,1
JPL43,0.026886675086232922,0.026504724917392575,0.02676059823268308,1.3702706648753213e-4,1.4900039171888632e-4,0.030773006952725925,0.030166634267159535,0.028578282592277373,-1.0035962106719198e-5,-8.078746927472208e-5,0.030370905342233644,-1.610073615752501e-4,0.030258216762116978,0.029972982459834645,0.02787889275126732,0.030608373765762035,0.029901021661666725,0.028784308906482613,0.03081214250553222,-1.9917270119842664e-4,-1.46450474858284e-4,0.030086131300777197,0.028834483364508265,0.026783689068487056,0.0270466256908895,0.028830113385234064,0.08811009197321895,0.06050939542742876,0.20449622647677126,0.12904374321686501,0.8944187059273662,0.030285304001975624,0.8894662449336512,0.748096455098252,0.026909598624401967,0.05380722392357258,0.8930610598832076,6.75232536755884,0.005567902123238416,0.010688380570546784,0.0055370722469182745,0.4733996242266845,0.8717459761858669,0.9381380270513257,1
JPL48,0.03441533626567933,0.0353726445426864,0.03516317391768098,3.923481473555937e-4,4.727341944263108e-4,0.051824203334175624,0.05106354789698825,0.03605094261227115,-1.5834724951174772e-4,-1.7285955926547164e-4,0.05122594119279415,-8.717795745245838e-6,0.051125207472415196,0.05098468083001319,0.048286685218604714,0.051458377534380324,0.05083896090778021,0.036151300971778697,0.051462896523021516,9.880938206709156e-5,-1.7194272506804165e-4,0.051077282772614405,0.04949200321875867,0.046946472416703515,0.03602825625946288,0.03639086721679362,0.15039657352103308,0.10229733844216053,0.32511303543945014,0.1919733460493404,0.6976860588052628,0.051176092154681496,0.6884307858391806,4.784304734395812,0.03563590811210729,0.07119143017714386,0.7040056155629516,6.352830428255148,0.013444013772278034,0.024601941332347083,0.01326566992313294,0.4136161334837179,0.8642248875107378,0.9900356604537471,1
