Target,Predictor,Category,N,r,p_raw,r_clean,p_clean,N_influential,Max_CooksD,p_bonferroni,p_fdr,p_clean_bonferroni,p_clean_fdr,Effect_size,Sig_raw,Sig_bonferroni,Sig_fdr,Robust,Manuscript_ready
Zn,Mineral_index_FTIR,FTIR,34,0.9633005477180898,7.648323379945889e-20,0.23296984734864085,0.19942693811445295,2,182.55037584767908,3.4417455209756496e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Aliphatic_aromatic,FTIR,34,0.9709399724965344,1.929826088952793e-21,0.324576518926683,0.06991544944659178,2,135.24177313044686,8.684217400287569e-19,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Weighted_organic,FTIR,34,0.9709372366441522,1.9326972580296368e-21,0.3239563712331155,0.07048285013527507,2,135.33277119776122,8.697137661133365e-19,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Cu,MgO_pct,XRF,37,0.9246589133505191,3.0415996681946395e-16,-0.03172040955284705,0.8586550496800915,3,100.11645048228888,1.3687198506875877e-13,4.562399502291959e-15,1,0.9517112619606927,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Cu,Pb_Zn,Ratio,39,0.9517609547157776,1.4157794598248655e-20,-0.36194543399870255,0.03006931453328519,3,872.2505229067104,6.3710075692118945e-18,5.309172974343245e-19,1,0.3075270804540531,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Cu,Cu_Zn,Ratio,39,0.7318651445138916,1.1976414019844427e-7,-0.18193257006731964,0.2882513395459996,3,11.307780613960867,5.389386308929992e-5,1.633147366342422e-6,1,0.767533152637277,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Cu,Anthro_index,Ratio,39,0.6367135940459007,1.3151674138446697e-5,0.37772404130328324,0.02313276048076586,3,9.67563108257622,0.005918253362301014,1.6439592673058373e-4,1,0.26024355540861593,Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Cr,SiO2_pct,XRF,37,-0.5169712238711689,0.0010521991274784056,-0.14673752106641477,0.40026369733824674,2,5.213013049463851,0.4734896073652825,0.011548527008909331,1,0.893094827602283,Strong,TRUE,FALSE,TRUE,FALSE,TRUE
Cr,CaO_pct,XRF,37,0.5907112626659436,1.1858899467050981e-4,0.1630459922479057,0.3493531377890474,2,7.673542506281473,0.053365047601729415,0.001404343357940248,1,0.8543962608971268,Strong,TRUE,FALSE,TRUE,FALSE,TRUE
Cr,K2O_pct,XRF,37,-0.5833974864747017,1.5078163446621175e-4,-0.7135840864737961,4.5455548263373296e-6,5,4.526878452853328,0.06785173550979529,0.001739788089994751,0.0020454996718517983,2.9221423883597124e-4,Strong,TRUE,FALSE,TRUE,TRUE,TRUE
Cr,Si_Al_ratio,Ratio,37,0.549541417389309,4.269343363151764e-4,-0.0458765039977244,0.7935605214154366,2,9.243645138088326,0.1921204513418294,0.004803011283545735,1,0.9110132007662284,Strong,TRUE,FALSE,TRUE,FALSE,TRUE
Cr,Pb_Cu,Ratio,39,0.9113353268002163,7.782173215924744e-16,0.2807794600973018,0.09716000540251622,3,355.1265518129909,3.501977947166135e-13,1.1296703055374628e-14,1,0.6072500337657264,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
