ASD_ID,asd_date,Longitude_asd,Latitude_asd,asd_file_name,Base_ID,ASD_Date
JPL82,2/6/25,-118.143165,34.206415,batch01_Spectral9998/SP_00024.asd,JPL82,2025-02-06
JPL83,2/6/25,-118.133719,34.206127,batch01_Spectral9998/SP_00028.asd,JPL83,2025-02-06
JPL85,2/6/25,-118.129823,34.202071,batch01_Spectral9998/SP_00009.asd,JPL85,2025-02-06
JPL86_bkA,5/13/25,-118.128921,34.200775,batch03_Spectral9999/SP_00005.asd,JPL86,2025-05-13
JPL87,2/6/25,-118.122068,34.196527,batch01_Spectral9998/SP_00008.asd,JPL87,2025-02-06
JPL88,2/6/25,-118.122026,34.195371,batch01_Spectral9998/SP_00016.asd,JPL88,2025-02-06
JPL89_bkA,4/7/25,-118.19433,34.127434,batch02_Spectral9997/SP_00085.asd,JPL89,2025-04-07
JPL90,2/6/25,-118.19433,34.127434,batch01_Spectral9998/SP_00022.asd,JPL90,2025-02-06
JPL91,2/6/25,-118.117723,34.145321,batch01_Spectral9998/SP_00013.asd,JPL91,2025-02-06
JPL92,2/6/25,-118.117368,34.141442,batch01_Spectral9998/SP_00017.asd,JPL92,2025-02-06
JPL93,2/6/25,-118.127219,34.140756,batch01_Spectral9998/SP_00000.asd,JPL93,2025-02-06
JPL94_bkA,5/13/25,-118.127954,34.149165000000004,batch03_Spectral9999/SP_00013.asd,JPL94,2025-05-13
JPL95_bkA,5/13/25,-118.118895,34.149446,batch03_Spectral9999/SP_00014.asd,JPL95,2025-05-13
