Target,Predictor,Category,N,r,p_raw,r_clean,p_clean,N_influential,Max_CooksD,p_bonferroni,p_fdr,p_clean_bonferroni,p_clean_fdr,Effect_size,Sig_raw,Sig_bonferroni,Sig_fdr,Robust,Manuscript_ready
Zn,CO_stretch_1100,FTIR,34,0.9632875370769981,7.691104331698614e-20,0.23366429686401824,0.1980522931411555,2,182.89146865870418,3.4609969492643766e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,NH_stretch,FTIR,34,0.9706170227453564,2.297796030593236e-21,0.32103334616729867,0.07320565647455879,2,135.3683169870529,1.0340082137669562e-18,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,NH_bend,FTIR,34,0.5230455158907645,0.00150407455313782,-0.19114199132878862,0.2946642710646874,2,6.7688726714137575,0.676833548912019,0.016115084497905215,1,0.7754322922754933,Strong,TRUE,FALSE,TRUE,FALSE,TRUE
Zn,Amide_I,FTIR,34,0.24805312381237607,0.15721414812122242,-0.012468714533603839,0.9450946629346675,1,1.565922646110507,1,0.4912952718140986,1,0.9764529241088957,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,CN_stretch,FTIR,34,0.9633093238168208,7.619592062177579e-20,0.23486804795267208,0.1956851061728145,2,182.46427091125142,3.4288164279799104e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Nitrate_1380,FTIR,34,0.247470650475278,0.158222714840979,-0.15412448708596396,0.39179162808902934,1,1.8607730497226298,1,0.4912952718140986,1,0.8904355183841577,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,Sulfate_1100,FTIR,34,0.9632702160171329,7.74840599840129e-20,0.23378981183164352,0.19780454301010475,2,182.66167966898368,3.4867826992805804e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Sulfoxide_1040,FTIR,34,0.9632781462044734,7.722121908413117e-20,0.2320025509792397,0.2013526781298822,2,183.67583324218126,3.4749548587859026e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,CS_stretch,FTIR,34,0.9641876651484921,5.2035467652444416e-20,0.23958702981518815,0.18659516041463203,2,180.1653840893262,2.3415960443599987e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,PO_1250,FTIR,34,0.9634444439258262,7.189781728310702e-20,0.23762356760252806,0.19034061846124256,2,181.85299216626677,3.2354017777398157e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,POC_1020,FTIR,34,0.9632723497022613,7.741325821241273e-20,0.23214221151019368,0.20107384327052444,2,183.43276919633277,3.4835966195585726e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,OH_stretch,FTIR,34,0.9705330066570129,2.4037588553712706e-21,0.31947337254436337,0.07469180808816288,2,135.89550950979822,1.0816914849170718e-18,1.0816914849170717e-19,1,0.5251767756198953,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Water_1630,FTIR,34,0.9640135803165462,5.616336815301053e-20,0.2469966434952812,0.1729267623903129,2,179.11073251661384,2.5273515668854738e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Carbonate_1420,FTIR,34,0.36669698423159813,0.03291226519020267,-0.09876129453456184,0.5907369427499926,2,3.959401598395117,1,0.2314143646186125,1,0.9021608230249412,Moderate,TRUE,FALSE,FALSE,FALSE,FALSE
Zn,Carbonate_875,FTIR,34,-0.25621016721364737,0.1435740523990667,-0.04450483164694727,0.805740564233242,1,1.5303653831360453,1,0.4912952718140986,1,0.9110132007662284,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
