sample_id,method,line_symbol,energy_keV,cts_per_s,error
JPL48,pellet,Pb_Lb2,12.621,19.484,0.806
JPL48,pellet,Pb_Lb3,12.793,5.325,0.22
JPL48,pellet,Pb_Lb4,12.306,4.015,0.166
JPL48,pellet,Pb_Lg1,14.764,10.599,0.439
JPL48,pellet,Pb_Ll,9.184,2.359,0.098
,,,,,
JPL48,powder,Pb_La1,10.55,50.409,5.102
JPL48,powder,Pb_La2,10.449,5.546,0.561
JPL48,powder,Pb_Lb1,12.613,37.343,3.779
JPL48,powder,Pb_Lb2,12.621,17.577,1.779
JPL48,powder,Pb_Lb3,12.793,4.807,0.486
JPL48,powder,Pb_Lb4,12.306,3.618,0.366
JPL48,powder,Pb_Lg1,14.764,9.619,0.973
JPL48,powder,Pb_Ll,9.184,2.082,0.211
JPL51,powder,Pb_La1,10.55,99.443,5.818
JPL51,powder,Pb_La2,10.449,10.939,0.64
JPL51,powder,Pb_Lb1,12.613,73.746,4.314
JPL51,powder,Pb_Lb2,12.621,34.714,2.031
JPL51,powder,Pb_Lb3,12.793,9.493,0.555
JPL51,powder,Pb_Lb4,12.306,7.145,0.418
JPL51,powder,Pb_Lg1,14.764,18.997,1.111
JPL51,powder,Pb_Ll,9.184,4.103,0.24
,,,,,
JPL51,pellet,Pb_La1,10.55,99.289,3.042
JPL51,pellet,Pb_La2,10.449,10.928,0.335
JPL51,pellet,Pb_Lb1,12.613,72.933,2.235
JPL51,pellet,Pb_Lb2,12.621,34.329,1.052
JPL51,pellet,Pb_Lb3,12.793,9.363,0.287
JPL51,pellet,Pb_Lb4,12.306,7.073,0.217
JPL51,pellet,Pb_Lg1,14.764,18.679,0.572
JPL51,pellet,Pb_Ll,9.184,4.146,0.127
,,,,,
JPL58,powder,Pb_La1,10.55,121.828,3.424
JPL58,powder,Pb_La2,10.449,13.411,0.377
JPL58,powder,Pb_Lb1,12.613,89.356,2.511
JPL58,powder,Pb_Lb2,12.621,42.06,1.182
JPL58,powder,Pb_Lb3,12.793,11.495,0.323
JPL58,powder,Pb_Lb4,12.306,8.668,0.244
JPL58,powder,Pb_Lg1,14.764,22.871,0.643
JPL58,powder,Pb_Ll,9.184,5.117,0.144
,,,,,
JPL52,powder,Pb_La1,10.55,60.992,5.171
JPL52,powder,Pb_La2,10.449,6.715,0.569
JPL52,powder,Pb_Lb1,12.613,44.621,3.783
JPL52,powder,Pb_Lb2,12.621,21.003,1.781
JPL52,powder,Pb_Lb3,12.793,5.739,0.487
JPL52,powder,Pb_Lb4,12.306,4.33,0.367
