sample,filepath,comment,O_pct,O_ppm,O_err,Mg_pct,Mg_ppm,Mg_err,Al_pct,Al_ppm,Al_err,Si_pct,Si_ppm,Si_err,P_pct,P_ppm,P_err,S_pct,S_ppm,S_err,K_pct,K_ppm,K_err,Ca_pct,Ca_ppm,Ca_err,Ti_pct,Ti_ppm,Ti_err,Mn_pct,Mn_ppm,Mn_err,Fe_pct,Fe_ppm,Fe_err,Ni_pct,Ni_ppm,Ni_err,Cu_pct,Cu_ppm,Cu_err,Zn_pct,Zn_ppm,Zn_err,Ga_pct,Ga_ppm,Ga_err,Rb_pct,Rb_ppm,Rb_err,Sr_pct,Sr_ppm,Sr_err,Y_pct,Y_ppm,Y_err,Zr_pct,Zr_ppm,Zr_err,Nb_pct,Nb_ppm,Nb_err,Ba_pct,Ba_ppm,Ba_err,Pb_pct,Pb_ppm,Pb_err,As_pct,As_ppm,As_err,Rh_pct,Rh_ppm,Rh_err,Sn_pct,Sn_ppm,Sn_err,Te_pct,Te_ppm,Te_err,Cl_pct,Cl_ppm,Cl_err,Mo_pct,Mo_ppm,Mo_err,Ag_pct,Ag_ppm,Ag_err,I_pct,I_ppm,I_err,La_pct,La_ppm,La_err,Ce_pct,Ce_ppm,Ce_err,Er_pct,Er_ppm,Er_err,Yb_pct,Yb_ppm,Yb_err,Ta_pct,Ta_ppm,Ta_err,Th_pct,Th_ppm,Th_err,U_pct,U_ppm,U_err,Ge_pct,Ge_ppm,Ge_err,Se_pct,Se_ppm,Se_err,W_pct,W_ppm,W_err,Gd_pct,Gd_ppm,Gd_err,Hf_pct,Hf_ppm,Hf_err,Sb_pct,Sb_ppm,Sb_err,Cd_pct,Cd_ppm,Cd_err,Re_pct,Re_ppm,Re_err,Br_pct,Br_ppm,Br_err,V_pct,V_ppm,V_err,Cr_pct,Cr_ppm,Cr_err,Cs_pct,Cs_ppm,Cs_err,In_pct,In_ppm,In_err,Co_pct,Co_ppm,Co_err,Bi_pct,Bi_ppm,Bi_err,Na_pct,Na_ppm,Na_err,Ir_pct,Ir_ppm,Ir_err,Pd_pct,Pd_ppm,Pd_err,Au_pct,Au_ppm,Au_err,Ru_pct,Ru_ppm,Ru_err,Os_pct,Os_ppm,Os_err,Tm_pct,Tm_ppm,Tm_err
ash-pellet_JPL77,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL77.prf,ash-pellets_15-July_JPL77,44.367,443670.0,0.09,0.827,8270.0,0.169,3.227,32270.0,0.052,27.36,273600.0,0.066,0.201,2010.0000000000002,0.006,0.643,6430.0,0.004,5.97,59700.0,0.064,11.132,111320.0,0.042,1.531,15310.0,0.011,0.128,1280.0,0.002,3.8,38000.0,0.01,0.0047,47.0,0.0003,0.0442,442.0,0.0005,0.341,3410.0000000000005,0.001,0.0025,25.0,0.0002,0.015,150.0,0.0003,0.072,720.0,0.0,0.0048,48.0,0.0003,0.0322,322.0,0.0004,0.0018,18.0,0.0003,0.159,1590.0,0.005,0.108,1080.0,0.001,0.0015,15.0,0.0004,,,,0.0093,93.0,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,50.0,0.001,,,,,,,,,,,,,0.0136,136.0,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL63,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL63.prf,ash-pellets_15-July_JPL63,44.76,447600.0,0.086,1.266,12660.0,0.152,4.154,41540.0,0.052,28.206,282060.0,0.064,0.171,1710.0000000000002,0.006,0.247,2470.0,0.003,6.625,66250.0,0.071,7.555,75550.0,0.036,0.7,7000.0,0.008,0.216,2160.0,0.002,5.708,57080.0,0.013,0.0046,46.0,0.0003,0.0138,138.0,0.0003,0.072,720.0,0.001,0.0039,39.0,0.0002,0.0211,211.0,0.0003,0.096,960.0,0.0,0.0063,63.0,0.0003,0.0322,322.0,0.0004,0.0024,24.0,0.0003,0.083,830.0,0.005,0.0321,321.0,0.0008,0.0011,11.0,0.0003,,,,0.0039,39.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0201,201.0,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL89,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL89.prf,ash-pellets_15-July_JPL89,46.189,461890.0,0.08,0.964,9640.0,0.136,4.389,43890.0,0.05,30.574,305740.0,0.063,0.128,1280.0,0.005,0.254,2540.0,0.002,5.422,54220.0,0.066,5.703,57030.0,0.03,0.805,8050.000000000001,0.008,0.161,1610.0,0.002,5.052,50519.99999999999,0.011,0.0034,34.0,0.0003,0.0106,106.0,0.0003,0.072,720.0,0.001,0.0036,36.0,0.0002,0.0167,167.0,0.0003,0.07,700.0000000000001,0.0,0.0057,57.0,0.0003,0.04,400.0,0.0004,0.0018,18.0,0.0003,0.077,770.0,0.004,0.0284,284.0,0.0007,0.0013,13.0,0.0002,,,,0.0035,35.0,0.0008,0.0057,57.0,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0198,198.0,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_XPAH58,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_XPAH58.prf,ash-pellets_15-July_XPAH58,40.374,403740.0,0.042,,,,0.37,3700.0,0.058,20.629,206290.0,0.046,0.816,8159.999999999999,0.011,0.469,4690.0,0.004,1.015,10149.999999999998,0.034,34.309,343090.0,0.049,0.42,4200.0,0.009,0.0456,456.0,0.0014,1.164,11640.0,0.004,0.0073,73.0,0.0003,0.0242,242.0,0.0004,0.094,940.0,0.001,0.0018,18.0,0.0002,0.0033,33.0,0.0003,0.0319,319.0,0.0003,0.0029,29.0,0.0003,0.0111,111.0,0.0003,,,,0.16,1600.0,0.005,,,,0.002,20.0,0.0002,,,,,,,0.0085,85.0,0.0019,,,,0.0019,19.0,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033,33.0,0.0009,,,,,,,,,,,,,,,,0.0145,145.0,0.0016,0.0217,217.0,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL76,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL76.prf,ash-pellets_15-July_JPL76,44.376,443760.0,0.085,0.884,8840.0,0.159,3.221,32210.0,0.049,27.408,274080.0,0.063,0.186,1860.0,0.005,0.523,5230.0,0.004,6.127,61270.0,0.065,10.282,102820.0,0.04,2.142,21420.0,0.013,0.132,1320.0,0.002,3.713,37130.0,0.009,0.007,70.0,0.0003,0.0404,404.0,0.0005,0.516,5160.0,0.002,0.0031,31.0,0.0002,0.0143,143.0,0.0003,0.066,660.0,0.0,0.0042,42.0,0.0003,0.0286,286.0,0.0004,0.0028,28.0,0.0003,0.14,1400.0000000000002,0.005,0.136,1360.0,0.001,,,,,,,0.0066,66.0,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0074,74.0,0.0008,,,,,,,0.0201,201.0,0.005,0.014,140.0,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL59,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL59.prf,ash-pellets_15-July_JPL59,45.406,454060.0,0.082,1.132,11319.999999999998,0.141,4.333,43330.0,0.05,29.373,293730.0,0.062,0.16,1600.0,0.005,0.227,2270.0,0.002,6.477,64770.0,0.07,6.336,63360.0,0.033,0.762,7620.0,0.008,0.186,1860.0,0.002,5.197,51970.0,0.012,0.0044,44.0,0.0003,0.0217,217.0,0.0003,0.103,1030.0,0.001,0.0045,45.0,0.0002,0.0204,204.0,0.0003,0.078,780.0,0.0,0.0058,58.0,0.0003,0.0251,251.0,0.0004,0.0028,28.0,0.0003,0.08,800.0,0.005,0.0274,274.0,0.0007,0.0017,17.0,0.0002,,,,0.0068,68.0,0.0009,,,,,,,,,,0.0019,19.0,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0058,58.0,0.001,,,,,,,,,,0.018,180.0,0.0036,,,,,,,0.0044,44.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL58,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL58.prf,ash-pellets_15-July_JPL58,44.914,449140.0,0.085,1.065,10650.0,0.153,3.622,36220.0,0.05,28.821,288210.0,0.064,0.181,1810.0,0.005,0.248,2480.0,0.002,6.095,60950.0,0.067,8.766,87660.0,0.038,0.8,8000.0,0.009,0.198,1980.0,0.002,4.697,46970.0,0.011,0.0044,44.0,0.0003,0.0152,152.0,0.0003,0.236,2360.0,0.001,0.0033,33.0,0.0002,0.0178,178.0,0.0003,0.1,1000.0,0.0,0.0052,52.0,0.0003,0.0315,315.0,0.0004,0.0025,25.0,0.0003,0.096,960.0,0.005,0.053,530.0,0.001,,,,,,,,,,,,,,,,0.0011,11.0,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0261,261.0,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_1606,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_1606.prf,ash-pellets_15-July_1606,46.612,466120.0,0.089,1.981,19810.0,0.16,3.541,35410.0,0.049,31.197,311970.0,0.068,,,,0.554,5540.000000000001,0.003,1.501,15009.999999999998,0.05,10.789,107890.0,0.04,0.437,4370.0,0.007,0.0342,342.0,0.0011,1.081,10810.0,0.004,0.005,50.0,0.0003,0.079,790.0,0.001,1.308,13080.0,0.003,0.0035,35.0,0.0002,0.014,140.0,0.0003,0.0339,339.0,0.0003,0.002,20.0,0.0003,0.0203,203.0,0.0003,0.0017,17.0,0.0003,0.25,2500.0,0.005,0.0099,99.0,0.0006,,,,,,,0.007,70.0,0.0008,,,,0.449,4490.0,0.002,0.0021,21.0,0.0003,,,,0.0126,126.0,0.0019,,,,,,,,,,,,,,,,0.0034,34.0,0.0005,,,,,,,,,,,,,,,,,,,0.0039,39.0,0.0009,,,,,,,0.06,600.0,0.0,,,,,,,,,,,,,0.0053,53.0,0.0011,0.0029,29.0,0.0004,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL28,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL28.prf,ash-pellets_15-July_JPL28,42.766,427660.0,0.092,1.635,16350.0,0.179,3.306,33060.0,0.053,24.973,249730.0,0.065,0.361,3610.0,0.007,0.215,2150.0,0.003,7.472,74720.0,0.069,12.459,124590.0,0.046,0.524,5240.0,0.008,0.277,2770.0000000000005,0.003,5.584,55839.99999999999,0.014,0.0054,54.0,0.0003,0.0178,178.0,0.0004,0.0499,499.0,0.0005,0.0036,36.0,0.0002,0.0155,155.0,0.0003,0.172,1719.9999999999998,0.001,0.0037,37.0,0.0003,0.0416,416.0,0.0005,,,,0.071,709.9999999999999,0.005,0.0241,241.0,0.0007,0.0009,9.0,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0219,219.0,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL29,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL29.prf,ash-pellets_15-July_JPL29,43.189,431890.0,0.093,1.452,14520.0,0.18,3.179,31790.0,0.054,25.641,256409.99999999997,0.066,0.277,2770.0000000000005,0.007,0.23,2300.0,0.003,6.399,63990.0,0.069,11.98,119800.0,0.046,0.625,6250.0,0.009,0.311,3110.0,0.003,6.312,63120.0,0.016,0.0062,62.0,0.0004,0.0188,188.0,0.0004,0.0402,402.0,0.0004,0.0038,38.0,0.0002,0.0165,165.0,0.0003,0.162,1620.0,0.001,0.0056,56.0,0.0004,0.0218,218.0,0.0005,0.0022,22.0,0.0003,0.073,730.0,0.005,0.0261,261.0,0.0008,,,,,,,0.0042,42.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034,34.0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0218,218.0,0.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL15,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL15.prf,ash-pellets_15-July_JPL15,44.205,442050.0,0.089,1.312,13120.0,0.166,3.808,38080.0,0.052,27.263,272630.0,0.065,0.217,2170.0,0.006,0.202,2020.0000000000002,0.002,6.01,60100.0,0.065,10.952,109520.0,0.042,0.745,7450.0,0.008,0.245,2450.0,0.002,4.632,46320.0,0.012,0.004,40.0,0.0003,0.0134,134.0,0.0003,0.087,869.9999999999999,0.001,0.0032,32.0,0.0002,0.0136,136.0,0.0003,0.139,1390.0000000000002,0.0,0.0044,44.0,0.0003,0.0219,219.0,0.0004,0.0017,17.0,0.0003,0.09,900.0,0.005,0.0258,258.0,0.0007,,,,0.002,20.0,0.0004,0.0045,45.0,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_1639,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_1639.prf,ash-pellets_15-July_1639,47.591,475910.0,0.071,0.816,8159.999999999999,0.11,4.896,48960.0,0.046,33.148,331480.00000000006,0.058,0.148,1480.0,0.004,0.214,2140.0,0.002,5.362,53620.0,0.064,3.221,32210.0,0.023,0.473,4730.0,0.006,0.079,790.0,0.001,3.732,37320.0,0.008,0.0035,35.0,0.0002,0.0072,72.0,0.0002,0.055,550.0,0.0,0.0029,29.0,0.0001,0.0124,124.0,0.0002,0.055,550.0,0.0,0.0036,36.0,0.0002,0.0385,385.0,0.0003,0.0015,15.0,0.0002,0.084,840.0,0.004,0.0252,252.0,0.0005,,,,,,,0.0044,44.0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013,13.0,0.0004,,,,,,,,,,,,,,,,,,,0.0035,35.0,0.0007,,,,,,,,,,0.015,150.0,0.0028,0.0066,66.0,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL11,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL11.prf,ash-pellets_15-July_JPL11,44.836,448360.0,0.087,1.205,12050.0,0.157,4.2,42000.0,0.052,28.151,281510.0,0.064,0.201,2010.0000000000002,0.006,0.255,2550.0,0.002,6.106,61060.0,0.068,7.86,78600.0,0.036,0.755,7550.0,0.008,0.193,1930.0,0.002,5.777,57770.0,0.013,0.0033,33.0,0.0003,0.0166,166.0,0.0003,0.129,1290.0,0.001,0.0039,39.0,0.0002,0.0178,178.0,0.0003,0.105,1050.0,0.0,0.0042,42.0,0.0003,0.0327,327.0,0.0004,0.0024,24.0,0.0003,0.083,830.0,0.005,0.0292,292.0,0.0007,0.0011,11.0,0.0003,,,,0.0045,45.0,0.0009,,,,,,,0.0012,12.0,0.0003,,,,,,,,,,,,,,,,,,,,,,0.0037,37.0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0243,243.0,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash_pellet_JPL73,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash_pellet_JPL73.prf,14_July_ash_pellets_JPL73,43.794,437939.99999999994,0.094,1.004,10040.0,0.186,2.766,27660.0,0.052,24.855,248550.0,0.065,0.108,1080.0,0.006,1.266,12660.0,0.006,3.617,36170.0,0.056,13.907,139070.0,0.047,2.872,28720.0,0.016,0.131,1310.0,0.002,3.963,39630.0,0.011,0.0091,91.0,0.0003,0.103,1030.0,0.001,0.685,6850.000000000001,0.002,0.0022,22.0,0.0003,0.0112,112.0,0.0003,0.088,880.0,0.0,0.0038,38.0,0.0004,0.0352,352.0,0.0004,0.0021,21.0,0.0003,0.313,3130.0,0.006,0.4,4000.0,0.002,,,,,,,0.0079,79.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,70.0,0.0011,0.0036,36.0,0.0009,,,,,,,0.0257,257.0,0.0062,0.0231,231.0,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_GPS09,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_GPS09.prf,ash-pellets_15-July_GPS09,45.997,459970.0,0.079,1.389,13890.0,0.133,4.571,45710.0,0.049,30.257,302570.0,0.062,0.133,1330.0,0.005,0.151,1510.0,0.002,5.94,59400.00000000001,0.069,4.868,48680.0,0.028,0.626,6260.0,0.007,0.166,1660.0,0.002,5.594,55940.0,0.012,0.004,40.0,0.0003,0.0088,88.0,0.0003,0.0347,347.0,0.0004,0.0036,36.0,0.0002,0.0196,196.0,0.0003,0.068,680.0,0.0,0.0057,57.0,0.0003,0.036,360.0,0.0004,0.0025,25.0,0.0003,0.065,650.0,0.005,0.024,240.0,0.0007,0.001,10.0,0.0002,,,,0.0058,58.0,0.0008,0.0095,95.0,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0052,52.0,0.0009,,,,,,,,,,0.0149,149.0,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_XPAH28,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_XPAH28.prf,ash-pellets_15-July_XPAH28,45.354,453540.0,0.095,11.796,117960.0,0.169,2.765,27650.0,0.042,27.079,270790.0,0.065,,,,0.232,2320.0,0.003,2.372,23720.0,0.052,5.043,50430.0,0.027,0.395,3950.0,0.006,0.062,620.0,0.001,1.833,18330.0,0.005,0.0029,29.0,0.0002,0.211,2110.0,0.001,0.256,2560.0,0.001,,,,0.0089,89.0,0.0002,0.0264,264.0,0.0002,,,,0.0182,182.0,0.0003,0.0018,18.0,0.0003,0.153,1530.0,0.005,2.323,23230.0,0.006,,,,,,,0.0114,114.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0061,61.0,0.0009,,,,,,,0.0203,203.0,0.0002,0.0102,102.0,0.0027,0.0091,91.0,0.001,0.0112,112.0,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL06,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL06.prf,ash-pellets_15-July_JPL06,42.265,422650.0,0.094,1.846,18460.0,0.187,2.311,23110.0,0.052,24.57,245700.0,0.065,0.442,4420.0,0.008,0.236,2360.0,0.003,7.527,75270.0,0.07,15.405,154050.0,0.053,0.429,4290.0,0.008,0.344,3439.9999999999995,0.003,4.204,42040.0,0.012,0.0039,39.0,0.0003,0.0154,154.0,0.0003,0.043,430.0,0.0004,0.0027,27.0,0.0002,0.0137,137.0,0.0003,0.197,1970.0,0.001,0.004,40.0,0.0003,0.0213,213.0,0.0005,0.002,20.0,0.0003,0.074,740.0,0.005,0.0168,168.0,0.0007,0.0013,13.0,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0245,245.0,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL07,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL07.prf,ash-pellets_15-July_JPL07,44.563,445630.0,0.09,1.171,11710.0,0.167,3.994,39940.0,0.052,27.864,278640.0,0.066,0.19,1900.0,0.006,0.286,2859.9999999999995,0.003,6.509,65090.0,0.07,8.875,88750.0,0.039,0.793,7930.0,0.009,0.24,2400.0,0.002,5.056,50560.0,0.013,0.0073,73.0,0.0003,0.0198,198.0,0.0004,0.113,1130.0,0.001,0.004,40.0,0.0002,0.0186,186.0,0.0003,0.108,1080.0,0.0,0.0064,64.0,0.0003,0.0354,354.0,0.0004,0.0025,25.0,0.0003,0.085,850.0000000000001,0.005,0.0312,312.0,0.0008,0.0013,13.0,0.0003,,,,0.0058,58.0,0.0009,,,,,,,,,,0.0027,27.0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0196,196.0,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_XPAH29,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_XPAH29.prf,ash-pellets_15-July_XPAH29,47.284,472840.0,0.071,0.832,8320.0,0.109,5.14,51400.0,0.047,32.531,325310.0,0.057,0.068,680.0,0.003,0.079,790.0,0.002,5.253,52530.0,0.064,2.454,24540.0,0.02,0.557,5570.000000000001,0.006,0.111,1110.0,0.001,5.458,54580.0,0.01,0.0046,46.0,0.0002,0.0062,62.0,0.0002,0.0236,236.0,0.0003,0.0036,36.0,0.0002,0.018,180.0,0.0002,0.0369,369.0,0.0002,0.0056,56.0,0.0003,0.0279,279.0,0.0003,0.0023,23.0,0.0002,0.052,520.0,0.004,0.0152,152.0,0.0006,0.001,10.0,0.0002,,,,0.0042,42.0,0.0007,0.0095,95.0,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0149,149.0,0.0028,0.0075,75.0,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash_pellet_JPL68,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash_pellet_JPL68.prf,ash-pellets_14-July_JPL68,45.119,451190.0,0.088,1.034,10340.0,0.159,3.425,34250.0,0.051,29.269,292690.0,0.067,0.193,1930.0,0.006,0.296,2960.0,0.003,6.298,62980.0,0.07,7.646,76460.0,0.036,0.769,7690.0,0.009,0.147,1470.0,0.002,5.387,53869.99999999999,0.013,0.0038,38.0,0.0003,0.0138,138.0,0.0003,0.121,1210.0,0.001,0.0035,35.0,0.0002,0.0178,178.0,0.0003,0.086,859.9999999999999,0.0,0.005,50.0,0.0003,0.0342,342.0,0.0004,0.003,30.0,0.0003,0.068,680.0,0.005,0.0298,298.0,0.0007,0.001,10.0,0.0003,,,,0.0045,45.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048,48.0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0205,205.0,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_1590,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_1590.prf,ash-pellets_15-July_1590,45.341,453410.0,0.081,1.364,13640.000000000002,0.14,4.467,44670.0,0.052,28.925,289250.0,0.062,0.124,1240.0,0.005,0.178,1780.0,0.002,4.517,45170.0,0.066,5.744,57440.0,0.031,0.744,7440.0,0.008,0.172,1719.9999999999998,0.002,7.305,73050.0,0.015,0.0089,89.0,0.0004,0.184,1840.0,0.001,0.11,1100.0,0.001,0.0037,37.0,0.0002,0.0187,187.0,0.0003,0.082,820.0,0.0,0.0048,48.0,0.0004,0.0195,195.0,0.0004,0.0026,26.0,0.0003,0.064,640.0,0.005,0.0251,251.0,0.0008,0.001,10.0,0.0003,0.0019,19.0,0.0004,,,,,,,0.523,5230.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0409,409.0,0.0003,0.0191,191.0,0.0035,0.0095,95.0,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
