EFA.ID,xrf_date,longitude,latitude,xrf_sample_id,xrf_method,xrf_subfolder,xrf_filename
JPL33,2025-07-15,-118.06999,34.175049,ash-pellets_15-July_JPL33,pellet,XRF_15-July_pellets,ash-pellet_JPL33.prf
JPL40,2025-07-15,,,ash-pellets_15-July_JPL40,pellet,XRF_15-July_pellets,ash-pellet_JPL40.prf
JPL48,2025-07-15,-118.057554,34.161124,ash-pellets_15-July_JPL48,pellet,XRF_15-July_pellets,ash-pellet_JPL48.prf
JPL51,2025-07-15,-118.178906,34.202526,ash-pellets_15-July_JPL51,pellet,XRF_15-July_pellets,ash-pellet_JPL51.prf
JPL52,2025-07-15,,,ash-pellets_15-July_JPL52,pellet,XRF_15-July_pellets,ash-pellet_JPL52.prf
JPL58,2025-07-15,-118.159399,34.175086,ash-pellets_15-July_JPL58,pellet,XRF_15-July_pellets,ash-pellet_JPL58.prf
JPL59,2025-07-15,-118.144892,34.173628,ash-pellets_15-July_JPL59,pellet,XRF_15-July_pellets,ash-pellet_JPL59.prf
JPL61,2025-07-15,-118.135338,34.16643,ash-pellets_15-July_JPL61,pellet,XRF_15-July_pellets,ash-pellet_JPL61.prf
JPL63,2025-07-15,-118.154636,34.165413,ash-pellets_15-July_JPL63,pellet,XRF_15-July_pellets,ash-pellet_JPL63.prf
JPL76,2025-07-15,-118.145178,34.191261,ash-pellets_15-July_JPL76,pellet,XRF_15-July_pellets,ash-pellet_JPL76.prf
JPL77,2025-07-15,-118.146334,34.189415,ash-pellets_15-July_JPL77,pellet,XRF_15-July_pellets,ash-pellet_JPL77.prf
JPL86,2025-07-15,-118.128921,34.200775,ash-pellets_15-July_JPL86,pellet,XRF_15-July_pellets,ash-pellet_JPL86.prf
JPL89,2025-07-15,-118.19433,34.127434,ash-pellets_15-July_JPL89,pellet,XRF_15-July_pellets,ash-pellet_JPL89.prf
JPL94,2025-07-15,,,ash-pellets_15-July_JPL94,pellet,XRF_15-July_pellets,ash-pellet_JPL94.prf
JPL95,2025-07-15,-118.118895,34.149446,ash-pellets_15-July_JPL95,pellet,XRF_15-July_pellets,ash-pellet_JPL95.prf
XPAH20,2025-07-15,-118.154297,34.191078,ash-pellets_15-July_XPAH20,pellet,XRF_15-July_pellets,ash-pellet_XPAH20.prf
XPAH26,2025-07-15,-118.154653,34.19516,ash-pellets_15-July_XPAH26,pellet,XRF_15-July_pellets,ash-pellet_XPAH26.prf
XPAH28,2025-07-15,-118.135615,34.206473,ash-pellets_15-July_XPAH28,pellet,XRF_15-July_pellets,ash-pellet_XPAH28.prf
XPAH29,2025-07-15,-118.11,34.18834,ash-pellets_15-July_XPAH29,pellet,XRF_15-July_pellets,ash-pellet_XPAH29.prf
XPAH55,2025-07-15,-118.10439,34.19345,ash-pellets_15-July_XPAH55,pellet,XRF_15-July_pellets,ash-pellet_XPAH55.prf
XPAH58,2025-07-15,-118.097225,34.177179,ash-pellets_15-July_XPAH58,pellet,XRF_15-July_pellets,ash-pellet_XPAH58.prf
