Sample,Method,Ag_ppm,Al,As_ppm,Ba,Ba_ppm,Bi_ppm,Br,Br_ppm,Ca,Cd_ppm,Ce_ppm,Cl,Co_ppm,Cr_ppm,Cs_ppm,Cu,Cu_ppm,Fe,Ga_ppm,Ge_ppm,I_ppm,In_ppm,Ir_ppm,K,La_ppm,Mg,Mn,Mn_ppm,Mo,Mo_ppm,Na,Nb_ppm,Ni_ppm,O,Os_ppm,P,Pb,Pb_ppm,Pd_ppm,Rb_ppm,Re_ppm,Rh_ppm,Ru_ppm,S,S_ppm,Sb_ppm,Si,Sn_ppm,Sr,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti,Ti_ppm,U_ppm,V_ppm,Y_ppm,Zn,Zn_ppm,Zr,Zr_ppm
JPL68,pellet,,3.425,10.0,0.068,,,,,7.646,,,,,,,,138.0,5.387,35.0,,,,,6.298,,1.034,0.147,,,,,30.0,38.0,45.119,,0.193,,298.0,,178.0,,,,0.296,,,29.269,45.0,0.086,,,,48.0,0.769,,,205.0,50.0,0.121,,,342.0
JPL68,powder,,5.796,31.0,0.077,,,,,12.394,,,,,,,,224.0,8.436,58.0,,24.0,,,9.008,,2.315,0.235,,,,,28.0,50.0,40.536,,0.439,,333.0,,227.0,,,,0.448,,,18.44,44.0,0.107,,,,,1.379,,,303.0,47.0,0.196,,,473.0
JPL73,pellet,,2.669,,0.312,,,,,14.253,,,,,246.0,,,464.0,3.912,28.0,,,,,3.687,,1.098,0.129,,,,,25.0,119.0,43.742,,0.128,0.354,,,113.0,,,,1.23,,65.0,24.879,70.0,0.099,,,,,2.662,,,286.0,43.0,0.675,,,246.0
JPL73,powder,,3.724,,0.325,,,,,22.761,,,,,280.0,,,75.0,5.057,34.0,,,,,4.83,,2.127,0.189,,,,,,80.0,39.067,,0.361,0.505,,,147.0,,,,1.852,,69.0,13.455,,0.114,,,66.0,,4.523,,,480.0,,0.862,,,429.0
JPL76,pellet,,3.047,15.0,0.139,,,,,10.372,79.0,,,,121.0,,,382.0,3.732,31.0,,,,,6.485,,0.769,0.136,,,22.0,,22.0,87.0,44.229,,0.192,0.133,,,151.0,,,,0.664,,54.0,27.175,69.0,0.068,,,,,2.14,,,189.0,41.0,0.564,,,280.0
JPL76,powder,,5.132,,0.131,,,,,16.339,,,0.349,,20.6,,,462.0,5.275,40.0,,,,,8.015,,1.341,0.206,,,,,31.0,81.0,39.906,,0.183,0.153,,,179.0,,16.0,32.0,0.936,,66.0,16.804,58.0,0.083,,,,,4.288,,,,34.0,0.709,,,289.0
JPL77,pellet,,3.215,,0.151,,,,,10.964,,,,,129.0,,0.054,,3.641,29.0,,,,,5.954,,1.0,0.123,,,,,19.0,42.0,44.438,,0.2,0.111,,,155.0,,,,0.725,,,27.315,59.0,0.073,,,,,1.554,,,192.0,46.0,0.387,,,281.0
JPL77,powder,56.0,5.119,,0.203,,,,,16.841,,,0.506,,,,0.071,,5.626,43.0,,,,,8.298,,1.638,0.197,,,38.0,,28.0,67.0,39.866,,0.261,0.117,,,194.0,,,,1.11,,,17.035,,0.091,,,,,2.409,,,80.0,52.0,0.444,,,384.0
JPL79,pellet,,2.862,,0.254,,,,,13.362,,,0.368,,160.0,,0.052,,3.187,24.0,,,,,4.514,,1.062,0.111,,,,,17.0,192.0,43.869,,0.051,0.176,,,112.0,,,,0.762,,44.0,26.156,82.0,0.068,,,,,2.504,,,355.0,29.0,0.517,,,223.0
JPL79,powder,38.0,4.548,,0.253,,,,,20.15,,,0.574,,271.0,,,492.0,4.961,37.0,,,,,5.86,,1.615,0.165,,,39.0,,,134.0,39.355,,0.251,0.254,,,169.0,,,,1.301,,,14.914,,0.092,,,,,4.818,,,,51.0,0.737,,,266.0
JPL86,pellet,,3.914,15.0,0.135,,41.0,,,7.193,,,0.201,,132.0,,,215.0,3.667,32.0,,,,,5.184,,0.652,0.127,,,10.0,,28.0,101.0,46.044,,0.08,,479.0,,179.0,,,,0.454,,,30.384,52.0,0.058,,,99.0,,1.562,,,,53.0,0.176,,,262.0
JPL89,pellet,,4.389,13.0,0.077,,,,,5.703,,,,,,,,106.0,5.052,36.0,,,,,5.422,,0.964,0.161,,,,,18.0,34.0,46.189,,0.128,,284.0,,167.0,,,,0.254,,,30.574,35.0,0.07,,,57.0,,0.805,,,198.0,57.0,0.072,,,400.0
JPL89,powder,,6.928,,0.127,,,,,10.859,,,,,,,,180.0,8.139,65.0,,,,,8.026,,2.212,0.261,,,,,24.0,45.0,41.492,,0.282,,340.0,,259.0,,,,0.43,,,19.548,,0.098,,,,,1.295,,,,82.0,0.167,,,355.0
JPL94,pellet,,3.563,15.0,0.061,,,,,6.557,,,,,,,,198.0,6.374,41.0,,,,,5.538,,1.003,0.19,,,36.0,,27.0,55.0,45.492,,0.154,,288.0,,189.0,59.0,,,0.239,,,29.818,57.0,0.083,,,,,0.649,,,168.0,82.0,0.12,,,369.0
JPL94,powder,,6.632,34.0,,,,,,10.612,,,,,,,,315.0,10.211,65.0,,388.0,74.0,,8.099,,1.946,0.295,,,,,,83.0,41.028,,0.269,,319.0,,265.0,,,,0.373,,,19.043,,0.097,,,,,1.039,,,,94.0,0.155,,,426.0
JPL95,pellet,28.0,3.874,13.0,0.066,,,,,7.3,,,,,,,,234.0,6.704,39.0,,,55.0,,5.939,,1.279,0.235,,,,,21.0,59.0,44.829,,0.199,,275.0,19.0,198.0,,,,0.238,,,28.268,59.0,0.112,,,120.0,,0.701,,,319.0,55.0,0.068,,,395.0
JPL95,powder,,6.566,35.0,,,,,,10.535,,,,,,,0.096,,9.921,59.0,,,,,8.046,,2.083,0.321,,,,,,115.0,41.143,,0.329,,242.0,,217.0,,,,0.325,,,19.226,,0.112,,,,,1.07,,,,54.0,0.131,,,237.0
PBP01_1,powder,,21.447,10.0,,,18.0,,,,,,,,,,,47.0,0.549,135.0,,,,,3.846,,0.342,,53.0,,,,21.0,8.0,48.776,,0.067,,162.0,,320.0,,,,,491.0,,24.8,14.0,,171.0,,,,,214.0,,,7.0,,20.0,,32.0
PBP01_2,powder,,21.361,7.0,,,,,,,,,,,,,,43.0,0.547,132.0,,,,,3.921,,0.299,,64.0,,,,22.0,7.0,48.764,,0.066,,184.0,,305.0,,,,0.051,,19.0,24.867,,,161.0,,,,,233.0,,,8.0,,21.0,,28.0
PBP01_3,powder,,21.437,12.0,,,,,,,,,,,,,,50.0,0.577,134.0,,,24.0,,3.974,,0.385,,55.0,,,,21.0,7.0,48.703,,0.065,,138.0,,308.0,,,,,494.0,,24.686,,,162.0,,,,,238.0,10.0,,8.0,,23.0,,29.0
PBP01_A,pellet,,21.076,,,,26.0,,,,,,,,,,,54.0,0.627,161.0,,,,,4.178,,0.319,,77.0,,,,41.0,11.0,48.617,,0.065,,392.0,,486.0,,,,0.063,,,24.849,29.0,,259.0,,,,,211.0,,,18.0,,28.0,,52.0
PBP01_B,pellet,,21.025,,,,28.0,,,,,128.0,,,,,,58.0,0.648,170.0,,,,,4.38,,,,77.0,,7.0,,39.0,12.0,48.599,,0.065,,386.0,,495.0,,,,0.053,,,25.025,36.0,,262.0,,,18.0,,240.0,,,17.0,,25.0,,50.0
PBP01_C,pellet,,21.05,,,100.0,,,,,,,,,,,,51.0,0.602,159.0,,,,,4.136,,0.449,,83.0,,,,33.0,8.0,48.626,,0.067,,367.0,,458.0,,,,0.052,,,24.833,23.0,,238.0,,,,,211.0,,,17.0,,26.0,,46.0
PBP02_1,powder,,20.686,39.0,,,,,,,,,,,,,,53.0,0.644,166.0,,,,,4.354,,0.327,,68.0,,12.0,,26.0,11.0,48.568,,0.063,0.092,,,377.0,,,,0.052,,,25.082,22.0,,203.0,,,,,281.0,,,10.0,,24.0,,34.0
PBP02_2,powder,,20.847,,,170.0,,,,,,,,,,,,54.0,0.627,146.0,,,,25.0,4.299,,0.454,,57.0,,,,21.0,7.0,48.55,,0.07,0.087,,,342.0,,,,0.062,,,24.878,15.0,,179.0,,,,,229.0,13.0,,8.0,,25.0,,31.0
PBP02_3,powder,,20.847,,,,,,,,,,,,,,,54.0,0.634,157.0,,,,20.0,4.358,,,,67.0,,,,28.0,8.0,48.625,,0.069,0.093,,,372.0,,,,0.052,,,25.194,,,200.0,20.0,,,,236.0,,,11.0,,25.0,,31.0
PBP02_A,pellet,,20.527,,,,,,,,,,,,67.0,,,57.0,0.665,172.0,,,,,4.389,,0.467,,81.0,,,,39.0,28.0,48.47,,0.07,0.175,,,491.0,,,,0.066,,,24.984,,,260.0,,,,,255.0,,,19.0,,34.0,,47.0
PBP02_B,pellet,9.0,20.776,,,,,,,,,,,,,,,65.0,0.624,166.0,,,,,4.17,,0.524,,79.0,,,,35.0,13.0,48.539,,0.068,0.171,,,476.0,,,,0.065,,,24.871,,,258.0,,,,,386.0,,,18.0,,35.0,,46.0
PBP02_C,pellet,,20.975,,,,,,,,,,,,,,,63.0,0.63,155.0,,,,,4.244,,0.356,,80.0,,11.0,,41.0,12.0,48.514,,0.067,0.178,,,475.0,,,,0.068,,,24.779,,,258.0,,,,,283.0,,,18.0,,33.0,,48.0
PBP03_1,powder,,20.872,,,,,,,,,,,,,,,56.0,0.646,164.0,,,,,4.438,,,,54.0,,,,31.0,10.0,48.565,,0.072,0.117,,,432.0,,,,,433.0,27.0,25.107,28.0,,237.0,,,,,245.0,,,14.0,,31.0,,43.0
PBP03_2,powder,14.0,20.718,,,242.0,27.0,,,,,,,,,,,57.0,0.654,170.0,,,,,4.326,,0.493,,51.0,,,,32.0,12.0,48.501,,0.076,0.12,,,436.0,,,,,483.0,,24.89,32.0,,238.0,,75.0,,,206.0,24.0,,13.0,,30.0,,40.0
PBP03_3,powder,,20.756,,,,,,,,,,,,,,,51.0,0.61,158.0,,,,,4.265,,0.617,,73.0,,,,33.0,8.0,48.535,,0.062,0.11,,,405.0,,,,,487.0,,24.864,25.0,,219.0,,,,,258.0,,,12.0,,24.0,,35.0
PBP03_A,pellet,,20.699,,,,31.0,,,,,,,,,,,54.0,0.628,160.0,,,,,4.319,,0.442,,74.0,,,,37.0,14.0,48.446,,0.067,0.314,,,496.0,,,,0.077,,,24.856,,,257.0,,,,,246.0,,,16.0,,33.0,,51.0
