sample_id,method,Pb_La1_cps,Pb_La1_err_cps,Pb_La2_cps,Pb_La2_err_cps,Pb_Lb1_cps,Pb_Lb1_err_cps,Pb_Lb2_cps,Pb_Lb2_err_cps,Pb_Lb3_cps,Pb_Lb3_err_cps,Pb_Lb4_cps,Pb_Lb4_err_cps,Pb_Lg1_cps,Pb_Lg1_err_cps,Pb_Ll_cps,Pb_Ll_err_cps
PBP02_pellet_A,pellet,1062.05,5.181,116.835,0.57,785.212,3.83,369.737,1.804,101.05,0.493,76.111,0.371,198.863,0.97,43.874,0.214
PBP02_pellet_B,pellet,1080.461,5.19,118.856,0.571,799.373,3.84,376.399,1.808,102.877,0.494,77.477,0.372,202.675,0.974,44.604,0.214
PBP02_pellet_C,pellet,1133.865,5.205,124.755,0.573,835.992,3.838,393.687,1.807,107.562,0.494,81.063,0.372,210.496,0.966,46.96,0.216
PBP02_powder_1,powder,534.873,4.813,58.83,0.529,396.97,3.572,186.892,1.682,51.102,0.46,38.458,0.346,101.539,0.914,22.031,0.198
PBP02_powder_2,powder,519.175,4.709,57.106,0.518,384.871,3.491,181.193,1.644,49.542,0.449,37.29,0.338,98.396,0.893,21.4,0.194
PBP02_powder_3,powder,553.264,4.848,60.857,0.533,409.305,3.592,192.983,1.691,52.762,0.462,39.718,0.348,104.696,0.917,22.819,0.2
PBP03_pellet_A,pellet,2007.083,6.55,220.909,0.721,1469.182,4.794,692.189,2.259,188.921,0.617,142.603,0.465,361.553,1.18,83.566,0.273
PBP03_pellet_B,pellet,2001.846,6.627,220.237,0.729,1477.232,4.89,695.723,2.303,190.075,0.629,143.228,0.474,370.962,1.228,82.734,0.274
PBP03_pellet_C,pellet,2058.211,6.715,226.471,0.739,1514.287,4.94,713.272,2.327,194.802,0.636,146.875,0.479,377.524,1.232,85.265,0.278
PBP03_powder_1,powder,665.617,5.052,72.99,0.556,492.38,3.749,231.822,1.765,63.383,0.483,47.704,0.363,125.669,0.957,27.337,0.208
PBP03_powder_2,powder,678.617,4.984,74.65,0.548,502.398,3.69,236.542,1.737,64.662,0.475,48.688,0.358,127.9,0.939,28.013,0.206
PBP03_powder_3,powder,654.224,4.992,71.963,0.549,484.751,3.699,228.228,1.741,62.394,0.476,46.973,0.358,123.606,0.943,26.984,0.206
PBP04_pellet_A,pellet,22.361,2.425,2.46,0.267,16.587,1.799,7.808,0.847,0.436,0.047,1.607,0.174,4.27,0.463,0.923,0.1
PBP04_pellet_B,pellet,27.493,2.327,3.023,0.256,20.535,1.738,9.666,0.818,2.645,0.224,1.988,0.168,5.309,0.449,1.125,0.095
PBP04_pellet_C,pellet,20.193,2.359,2.221,0.259,15.011,1.753,7.066,0.825,1.933,0.226,1.454,0.17,3.869,0.452,0.831,0.097
PBP04_powder_1,powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PBP04_powder_2,powder,23.371,2.342,2.57,0.258,17.395,1.743,8.188,0.82,2.24,0.224,1.685,0.169,4.489,0.45,0.961,0.096
PBP04_powder_3,powder,16.849,2.389,1.853,0.263,12.544,1.778,5.905,0.837,1.615,0.229,1.215,0.172,3.238,0.459,0.692,0.098
XPAH20,pellet,1434.603,5.323,157.904,0.586,1053.508,3.909,496.047,1.841,135.531,0.503,102.185,0.379,266.621,0.989,60.704,0.225
XPAH20,powder,1592.735,13.643,175.349,1.502,1165.231,9.981,548.707,4.7,149.866,1.284,113.072,0.969,293.061,2.51,68.117,0.583
XPAH26,pellet,65.208,2.308,7.182,0.254,47.407,1.678,22.313,0.79,6.095,0.216,4.603,0.163,12.032,0.426,3.539,0.125
XPAH26,powder,38.164,2.808,4.204,0.308,27.712,2.039,13.043,0.96,3.563,0.262,2.691,0.198,7.039,0.518,2.078,0.153
XPAH28,pellet,11113.75,13.912,1225.682,1.534,7811.862,9.779,3689.243,4.618,1001.433,1.254,762.269,0.954,1708.348,2.139,484.378,0.606
XPAH28,powder,3312.368,18.564,1027.265,2.048,6516.097,12.99,3077.236,6.134,835.164,1.665,636.321,1.269,1422.838,2.836,411.721,0.821
XPAH29,pellet,64.945,2.383,7.149,0.262,47.704,1.75,22.454,0.824,6.137,0.225,4.627,0.17,12.22,0.448,2.709,0.099
XPAH29,powder,48.12,5.508,5.297,0.606,35.27,4.037,16.601,1.9,4.537,0.519,3.422,0.392,9.031,1.034,2.013,0.23
XPAH55,pellet,46.628,2.205,5.132,0.243,34.248,1.62,16.12,0.762,4.406,0.208,3.322,0.157,8.774,0.415,1.944,0.092
XPAH55,powder,51.549,2.722,5.675,0.3,37.786,1.995,17.786,0.939,4.861,0.257,3.666,0.194,9.673,0.511,2.154,0.114
XPAH58,pellet,19.87,1.87,2.187,0.206,14.664,1.38,6.902,0.649,1.887,0.178,1.421,0.134,3.773,0.355,0.828,0.078
XPAH58,powder,20.856,2.356,2.295,0.259,15.371,1.736,7.235,0.817,1.978,0.223,1.49,0.168,3.952,0.446,0.871,0.098
