Base_ID,Sample_Type,Latitude,Longitude,Pb_icpms,Zn_icpms,Cu_icpms,As_icpms,Pb_xrf_wt,Zn_xrf_wt,Cu_xrf_wt,Pb_xrf_ppm,Zn_xrf_ppm,Cu_xrf_ppm,Pb_predicted_H0,Pb_residual_H0,Pb_bias_H0,Pb_La1_cts,Pb_Lb1_cts,Pb_Lb2_cts,Pb_Lb_sum,Pb_predicted_H1b,Pb_residual_H1b
JPL25,ASH,34.162417,-118.10011,55.34909972,174.6050294,60.99307895,10.41981573,0.0257,0.069,0.0228,257,690.0000000000001,228,-32.7242193831476,88.0733191031476,201.65090028,61.098,44.878,21.124,66.002,-42.977805600374445,98.32690532037444
JPL29,ASH,34.1835037,-118.0829862,61.12195122,153.1341463,69.2195122,6.573170732,0.0308,0.076,0.0337,308,760,337,-3.499860349140909,64.6218115691409,246.87804878,76.928,56.151,26.571,82.72200000000001,-16.12701272242375,77.24896394242376
JPL33,ASH,34.175049,-118.06999,46.57352941,425.5,57.22058824,9.161764706,0.0284,0.188,0.0356,284,1880,356,-17.252499894555818,63.82602930455582,237.42647059,58.693,43.012,20.245,63.257000000000005,-47.38602488565999,93.95955429565998
JPL43,ASH,34.17599,-118.02007,38.44266667,143.7546667,120.5866667,4.757333333,0.025,0.073,0.074,250,730,740,-36.73540591722694,75.17807258722695,211.55733333,57.019,41.865,19.705,61.57,-50.095192803429306,88.53785947342931
JPL48,ASH,34.161124,-118.057554,47.2572402,183.7819421,74.08858603,5.894378194,0.02,0,0.0303,200,0,303,-65.38673830350801,112.64397850350801,152.7427598,55.909,41.01,19.303,60.313,-52.113819995270454,99.37106019527045
JPL50,ASH,34.199831,-118.191721,48.00403226,223.0846774,59.21370968,4.045698925,0.0261,0.117,0.0319,261,1170,319,-30.432112792245107,78.43614505224511,212.99596774,71.285,52.345,24.638,76.983,-25.343322550567233,73.34735481056724
JPL51,ASH,34.202526,-118.178906,62.98435406,221.8793239,43.88573034,6.251297062,0.0369,0.087,0.0153,369,869.9999999999999,153,31.454765162121998,31.529588897878003,306.01564594,99.289,72.933,34.329,107.262,23.281985915429683,39.702368144570315
JPL58,ASH,34.175086,-118.159399,208.5216243,572.2748228,58.65876291,6.026068218,0.0442,0,0.0326,442.00000000000006,0,325.99999999999994,73.28571044609235,135.23591385390768,233.47837570000004,185.964,136.558,64.279,200.837,173.55488923805135,34.96673506194867
JPL59,ASH,34.173628,-118.144892,86.09509363,387.8093214,72.93310897,6.911511568,0.0486,0.142,0.0215,486,1419.9999999999998,214.99999999999997,98.49888294601966,-12.403789316019669,399.90490637,96.733,71.036,33.437,104.473,18.803106648886352,67.29198698111364
JPL61,ASH,34.16643,-118.135338,78.68331885,215.4109965,51.86056835,7.959753113,0.0474,0.104,0.0209,474,1040,208.99999999999997,91.6225631733122,-12.939244323312195,395.31668115,98.012,71.921,33.853,105.774,20.89239382198527,57.79092502801474
JPL63,ASH,34.165413,-118.154636,84.66094421,332.6695279,56.9527897,5.931330472,0.0472,0.165,0.0294,472,1650,294,90.47650987786098,-5.81556566786098,387.33905579,107.244,78.69,37.039,115.729,36.879214581554585,47.78172962844541
JPL68,ASH,34.19871117,-118.1630706,77.39632903,778.6879674,74.18422842,6.067301156,0.0405,0.222,0.0294,405,2220,294,52.083724480244356,25.312604549755648,327.60367097,99.529,73.113,34.414,107.527,23.707551711641223,53.68877731835878
JPL73,ASH,34.188432,-118.130156,804.4356436,3684.653465,292.1386139,12.1980198,0,1.244,0.163,0,12440,1630,-179.99206784863227,984.4277114486323,-804.4356436,1206.7725,881.9960000000001,415.291,1297.287,1934.3534449216052,-1129.917801321605
JPL76,ASH,34.191261,-118.145178,556.9404389,2042.532915,179.8369906,8.652037618,0.159,0.733,0.052,1590,7330,520,731.1203020351056,-174.17986313510562,1033.0595610999999,88.23,358.245,168.645,526.89,697.1662271707339,-140.22578827073391
JPL77,ASH,34.189415,-118.146334,557.4358974,2838.945869,239.7008547,10.48433048,0.126,0.553,0.088,1260,5530.000000000001,880,542.0215082856506,15.414389114349433,702.5641026,384.971,282.594,133.029,415.623,518.4815877478309,38.95430965216917
JPL79,ASH,34.199635,-118.146431,448.1712627,3076.632801,619.4775036,4.920174165,0.274,0.917,0.062,2740,9170,620,1390.10094691957,-941.9296842195702,2291.8287373,650.564,477.32,224.709,702.029,978.4234648412723,-530.2522021412724
JPL86,ASH,34.200775,-118.128921,74.44794953,796.6719243,85.11041009,5.362776025,0.063,0.313,0.068,630,3130,680,181.01472021850915,-106.56677068850915,555.55205047,183.501,134.844,63.473,198.317,169.5079994023794,-95.0600498723794
JPL89,ASH,34.127434,-118.19433,67.45036573,300.4702194,41.23301985,5.768025078,0.0366,0,0.0225,366,0,225,29.735685218945125,37.71468051105488,298.54963427,106.989,78.562,36.979,115.541,36.577303752544125,30.873061977455876
JPL95,ASH,34.149446,-118.118895,58.93544734,214.7678369,97.50849377,5.175537939,0.0261,0.163,0.12,261,1630,1200,-30.432112792245107,89.3675601322451,202.06455266,82.307,60.34,28.402,88.742,-6.459442559429554,65.39488989942956
XPAH29,ASH,34.18834,-118.11,53.75066313,169.061008,43.35278515,6.928381963,0.0183,0.058,0.0143,183,580,143,-75.12819131484358,128.87885444484357,129.24933687,64.945,47.704,22.454,70.158,-36.30364918884555,90.05431231884555
XPAH20,ASH,34.191078,-118.154297,1933.059524,3327.72619,14.21428571,11.6547619,0.723,0.916,0,7230,9160,0,3962.9905952076097,-2029.9310712076096,5296.940476,1434.603,1053.508,496.047,1549.555,2339.472812011011,-406.41328801101076
XPAH26,ASH,34.19516,-118.154653,82.02020202,23828.51852,253.2828283,3.804713805,0.0114,5.881,0.094,114,58810,940,-114.66703000791145,196.68723202791145,31.97979798,65.208,47.407,22.313,69.72,-37.007037184093306,119.0272392040933
XPAH28,ASH,34.206473,-118.135615,18528.21005,1993.242009,3650.045662,3.01369863,3.17,0.603,0.528,31700,6030,5280,17984.952665053563,543.2573849464388,13171.789949999998,11113.75,7811.862,3689.243,11501.105,18320.753186686252,207.45686331374964
XPAH55,ASH,34.19345,-118.10439,27.02140309,100.3745541,23.60285375,6.183115339,0.0187,0.028,0.007,187,280,70,-72.83608472394108,99.85748781394108,159.97859691,46.628,34.248,16.12,50.367999999999995,-68.0845816681903,95.10598475819029
XPAH58,ASH,34.177179,-118.097225,13.79730597,513.6561899,115.3559974,4.0410519559999996,0.0113,0.214,0.053,112.99999999999999,2140,530,-115.24005665563708,129.0373626256371,99.20269402999999,18.559,13.704,6.45,20.154,-116.6055060709655,130.4028120409655
