Base_ID,Sample_Type,Latitude,Longitude,Pb_icpms,Zn_icpms,Cu_icpms,As_icpms,Pb_xrf_wt,Zn_xrf_wt,Cu_xrf_wt,Pb_xrf_ppm,Zn_xrf_ppm,Cu_xrf_ppm,Pb_predicted_H0,Pb_residual_H0,Pb_bias_H0,Method,Pb_La1_cts,Pb_Lb1_cts,Pb_Lb2_cts,Pb_Lb_sum,Pb_predicted_H1b,Pb_residual_H1b
JPL59,ASH,34.173628,-118.144892,86.09509363,387.8093214,72.93310897,6.911511568,0.0486,0.142,0.0215,486,1419.9999999999998,214.99999999999997,98.49888294601966,-12.403789316019669,399.90490637,pellet,101.427,74.524,35.079,109.60300000000001,29.04669834000409,57.0483952899959
JPL61,ASH,34.16643,-118.135338,78.68331885,215.4109965,51.86056835,7.959753113,0.0474,0.104,0.0209,474,1040,208.99999999999997,91.6225631733122,-12.939244323312195,395.31668115,pellet,98.012,71.921,33.853,105.774,22.890966991197413,55.79235185880259
JPL63,ASH,34.165413,-118.154636,84.66094421,332.6695279,56.9527897,5.931330472,0.0472,0.165,0.0294,472,1650,294,90.47650987786098,-5.81556566786098,387.33905579,pellet,107.244,78.69,37.039,115.729,38.89522543396847,45.76571877603153
JPL68,ASH,34.19871117,-118.1630706,77.39632903,778.6879674,74.18422842,6.067301156,0.0405,0.222,0.0294,405,2220,294,52.083724480244356,25.312604549755648,327.60367097,pellet,99.529,73.113,34.414,107.527,25.70919552461556,51.687133505384445
JPL73,ASH,34.188432,-118.130156,804.4356436,3684.653465,292.1386139,12.1980198,0,1.244,0.163,0,12440,1630,-179.99206784863227,984.4277114486323,-804.4356436,pellet,1126.774,823.754,387.861,1211.615,1800.7076581627086,-996.2720145627086
JPL76,ASH,34.191261,-118.145178,556.9404389,2042.532915,179.8369906,8.652037618,0.159,0.733,0.052,1590,7330,520,731.1203020351056,-174.17986313510562,1033.0595610999999,pellet,463.044,339.626,159.88,499.506,655.8782784115023,-98.93783951150226
JPL77,ASH,34.189415,-118.146334,557.4358974,2838.945869,239.7008547,10.48433048,0.126,0.553,0.088,1260,5530.000000000001,880,542.0215082856506,15.414389114349433,702.5641026,pellet,398.881,292.862,137.863,430.725,545.3017942374958,12.134103162504289
JPL79,ASH,34.199635,-118.146431,448.1712627,3076.632801,619.4775036,4.920174165,0.274,0.917,0.062,2740,9170,620,1390.10094691957,-941.9296842195702,2291.8287373,pellet,650.564,477.32,224.709,702.029,981.4664685275569,-533.2952058275569
JPL86,ASH,34.200775,-118.128921,74.44794953,796.6719243,85.11041009,5.362776025,0.063,0.313,0.068,630,3130,680,181.01472021850915,-106.56677068850915,555.55205047,pellet,183.501,134.844,63.473,198.317,171.66867558681392,-97.22072605681392
JPL89,ASH,34.127434,-118.19433,67.45036573,300.4702194,41.23301985,5.768025078,0.0366,0,0.0225,366,0,225,29.735685218945125,37.71468051105488,298.54963427,pellet,106.989,78.562,36.979,115.541,38.59298529461729,28.85738043538271
JPL95,ASH,34.149446,-118.118895,58.93544734,214.7678369,97.50849377,5.175537939,0.0261,0.163,0.12,261,1630,1200,-30.432112792245107,89.3675601322451,202.06455266,pellet,82.307,60.34,28.402,88.742,-4.490703505766594,63.4261508457666
XPAH29,ASH,34.18834,-118.11,53.75066313,169.061008,43.35278515,6.928381963,0.0183,0.058,0.0143,183,580,143,-75.12819131484358,128.87885444484357,129.24933687,pellet,64.945,47.704,22.454,70.158,-34.36746281269351,88.11812594269351
XPAH20,ASH,34.191078,-118.154297,1933.059524,3327.72619,14.21428571,11.6547619,0.723,0.916,0,7230,9160,0,3962.9905952076097,-2029.9310712076096,5296.940476,pellet,1434.603,1053.508,496.047,1549.555,2344.000385249605,-410.9408612496052
XPAH26,ASH,34.19516,-118.154653,82.02020202,23828.51852,253.2828283,3.804713805,0.0114,5.881,0.094,114,58810,940,-114.66703000791145,196.68723202791145,31.97979798,pellet,65.208,47.407,22.313,69.72,-35.07161803096913,117.09182005096912
XPAH28,ASH,34.206473,-118.135615,18528.21005,1993.242009,3650.045662,3.01369863,3.17,0.603,0.528,31700,6030,5280,17984.952665053563,543.2573849464388,13171.789949999998,pellet,11113.75,7811.862,3689.243,11501.105,18342.712399931508,185.49765006849339
