arm,strategy,n_train,n_eval,matrix_slope_full,pearson_r,RMSE_ppm,MAE_ppm,BA_bias_ppm,BA_LOA_range,sens_80,spec_80,sens_200,spec_200,sens_320,spec_320,sens_500,spec_500,sens_800,spec_800,sens_1000,spec_1000
pellet_intensity,S4_Drop_top3,30,33,2.2389843545727572,0.9988797799220284,616.6049984799857,168.81937648130642,118.24698333905195,2409.010574731862,0.6363636363636364,0.9545454545454546,0.8571428571428571,1,1,1,0.6,0.9642857142857143,1,0.9666666666666667,1,0.967741935483871
pellet_intensity,S5_CapICPMS_1000,31,33,1.8209321268925724,0.9984068244510044,1103.5487115108965,262.56291262198647,232.24979697241676,4294.593984054594,0.6363636363636364,0.9545454545454546,0.8571428571428571,1,0.8333333333333334,1,0.6,0.9642857142857143,1,1,1,0.967741935483871
pellet_intensity,S6_CapICPMS_500,28,33,1.7356200058131175,0.9987280688392888,1202.872294867236,280.0010850403873,255.9576574254837,4678.706459401568,0.6363636363636364,0.9545454545454546,0.8571428571428571,1,0.8333333333333334,1,0.6,0.9642857142857143,1,1,1,1
pellet_intensity,S7_CooksD,31,33,2.7106428689949964,0.998878870198273,157.09798378377548,70.43033213810125,-1.6093708973396865,625.3395098255523,0.9090909090909091,0.9090909090909091,0.8571428571428571,1,1,1,0.8,0.9642857142857143,1,0.9666666666666667,1,0.967741935483871
powder_FP,S1_All_LOOCV,36,36,0.7555017427435265,0.8662369226750462,1959.3656486583848,540.84978008698,88.89851896876331,7781.643297050603,0.9090909090909091,0.24,1,0.7931034482758621,1,1,1,0.967741935483871,1,0.9393939393939394,1,0.9411764705882353
powder_FP,S2_Drop_XPAH28,35,36,0.3119496672639546,0.98565253223836935,1886.5017854958842,383.3894906135058,327.8633999636283,7385.85200997616,0.9090909090909091,0.84,0.8571428571428571,1,0.8333333333333334,1,0.6,0.967741935483871,1,1,1,0.9705882352941176
powder_FP,S3_Drop_top2,34,36,0.24469934168302002,0.9763872429402433,2145.8550298978116,426.0678838840928,392.5929595174003,8387.081220270147,0.5454545454545454,1,0.8571428571428571,1,0.6666666666666666,1,0.6,1,1,1,1,0.9705882352941176
powder_FP,S4_Drop_top3,33,36,0.33400352661389343,0.983131159001394,1798.8789545885509,362.4937254621932,293.02355092917543,7056.115013948575,0.9090909090909091,0.8,0.8571428571428571,1,0.8333333333333334,1,0.6,0.967741935483871,1,0.9696969696969697,1,0.9705882352941176
powder_FP,S5_CapICPMS_1000,34,36,0.24469934168302002,0.9763872429402433,2145.8550298978116,426.0678838840928,392.5929595174003,8387.081220270147,0.5454545454545454,1,0.8571428571428571,1,0.6666666666666666,1,0.6,1,1,1,1,0.9705882352941176
powder_FP,S6_CapICPMS_500,31,36,0.24921464113002464,0.9837255670578314,2126.724348891067,415.6120761056118,392.8884038827423,8309.486666345792,0.5454545454545454,1,0.8571428571428571,1,0.6666666666666666,1,0.6,0.967741935483871,1,1,1,1
powder_FP,S7_CooksD,33,36,0.33400352661389343,0.983131159001394,1798.8789545885509,362.4937254621932,293.02355092917543,7056.115013948575,0.9090909090909091,0.8,0.8571428571428571,1,0.8333333333333334,1,0.6,0.967741935483871,1,0.9696969696969697,1,0.9705882352941176
powder_intensity,S1_All_LOOCV,35,35,0.7525743570088381,0.9960253253370948,748.0286494216188,191.70696404753232,102.76658997618159,2946.8716533793176,0.9090909090909091,0.8333333333333334,0.8571428571428571,1,1,1,0.8,0.9666666666666667,1,0.96875,1,0.9696969696969697
powder_intensity,S2_Drop_XPAH28,34,35,0.5807373933092427,0.9969121029047825,755.966008514575,211.55523855697461,150.80000476576703,2946.222277130212,0.6363636363636364,1,0.8571428571428571,1,0.8333333333333334,1,0.6,0.9666666666666667,1,1,1,0.9696969696969697
powder_intensity,S3_Drop_top2,33,35,0.43091979757464033,0.996127879797483,1360.7460881574887,315.27634415083855,281.93841679925754,5294.558167874728,0.5454545454545454,1,0.8571428571428571,1,0.6666666666666666,1,0.6,0.9666666666666667,1,1,1,0.9696969696969697
powder_intensity,S4_Drop_top3,32,35,0.5948126215320232,0.9976743830931984,688.5924768821224,192.7402528870308,127.21043080791699,2691.5503885255985,0.6363636363636364,0.9583333333333334,0.8571428571428571,1,0.8333333333333334,1,0.6,0.9666666666666667,1,0.96875,1,0.9393939393939394
powder_intensity,S5_CapICPMS_1000,33,35,0.43091979757464033,0.996127879797483,1360.7460881574887,315.27634415083855,281.93841679925754,5294.558167874728,0.5454545454545454,1,0.8571428571428571,1,0.6666666666666666,1,0.6,0.9666666666666667,1,1,1,0.9696969696969697
powder_intensity,S6_CapICPMS_500,30,35,0.4389338799351029,0.9971705394281808,1326.375757688925,307.7947390062009,273.9967997944165,5161.515744622168,0.5454545454545454,1,0.8571428571428571,1,0.6666666666666666,1,0.6,0.9666666666666667,1,0.96875,1,1
powder_intensity,S7_CooksD,33,35,0.7044702271909875,0.9982479529459506,274.45304165628585,113.32663532870413,35.75671799450556,1082.2590456201667,0.8181818181818182,0.875,0.8571428571428571,1,1,1,0.6,0.9666666666666667,1,0.96875,1,0.9696969696969697
